@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {rest, flex}

@DATA
18, 15, 3, 0, 1.13275724836, rest
18, 15, 3, 0, 1.0905004887, rest
18, 16, 2, 0, 1.08176622807, rest
31, 16, 15, 0, 2.21471745402, rest
31, 16, 15, 0, 3.40494608304, rest
25, 16, 9, 0, 2.35071183081, rest
18, 16, 2, 0, 1.07715356321, rest
18, 16, 2, 0, 1.06524269094, rest
18, 16, 2, 0, 1.06989254986, rest
18, 16, 2, 0, 1.01698125975, rest
18, 16, 2, 0, 0.938080231026, rest
18, 16, 2, 0, 1.03348089687, rest
18, 16, 2, 0, 1.03351806659, rest
18, 16, 2, 0, 1.05903538249, rest
18, 16, 2, 0, 1.07193086891, rest
18, 16, 2, 0, 0.995637324657, rest
18, 16, 2, 0, 0.778547957263, rest
18, 16, 2, 0, 0.907860162485, rest
18, 15, 3, 0, 1.03643375039, rest
18, 15, 3, 0, 1.06900930324, rest
18, 15, 3, 0, 1.06256263212, rest
18, 15, 3, 0, 1.1139900448, rest
18, 16, 2, 0, 1.06393540727, rest
18, 16, 2, 0, 1.07662003756, rest
18, 16, 2, 0, 0.992528867714, rest
18, 16, 2, 0, 1.01858641737, rest
18, 16, 2, 0, 1.03268353497, rest
17, 16, 1, 0, 0.986616519849, rest
17, 16, 1, 0, 0.952195376626, rest
19, 16, 3, 0, 1.80946070292, rest
20, 16, 4, 0, 1.62378314257, rest
20, 16, 4, 0, 1.45893585462, rest
20, 16, 4, 0, 1.45519775583, rest
20, 16, 4, 0, 1.3604939935, rest
19, 16, 3, 0, 1.23030969236, rest
19, 16, 3, 0, 1.27842820133, rest
19, 17, 2, 0, 1.2293757386, rest
19, 16, 3, 0, 1.29577115787, rest
19, 16, 3, 0, 1.22020457517, rest
18, 16, 2, 0, 0.84484732848, rest
18, 16, 2, 0, 1.13059288161, rest
18, 16, 2, 0, 1.13726248398, rest
19, 16, 3, 0, 1.12799522548, rest
19, 16, 3, 0, 1.17299355108, rest
18, 16, 2, 0, 1.12155972874, rest
18, 16, 2, 0, 0.89763660646, rest
19, 16, 3, 0, 1.1666627065, rest
20, 16, 4, 0, 1.5474665895, rest
20, 17, 3, 0, 1.33480127273, rest
19, 16, 3, 0, 1.33714601193, rest
18, 16, 2, 0, 1.04934875111, rest
19, 16, 3, 0, 1.02169305902, rest
19, 16, 3, 0, 1.32342082359, rest
19, 16, 3, 0, 1.3682423137, rest
69, 16, 53, 0, 3.23149098771, rest
69, 17, 52, 0, 4.73476061121, rest
88, 45, 43, 0, 4.93726904752, rest
114, 54, 60, 1, 5.33273100758, rest
133, 65, 68, 1, 5.79367915014, rest
133, 52, 81, 1, 5.84003162864, rest
105, 52, 53, 1, 5.23906250741, rest
105, 57, 48, 1, 5.2540229653, rest
79, 41, 38, 0, 4.62212924339, rest
84, 40, 44, 0, 5.22035272923, rest
84, 40, 44, 0, 4.90720666282, rest
87, 40, 47, 1, 5.11769455362, rest
87, 39, 48, 1, 5.20431272922, rest
84, 36, 48, 0, 4.89161972318, rest
55, 34, 21, 0, 4.26646615742, rest
53, 34, 19, 0, 3.92938445426, rest
51, 36, 15, 0, 3.72614866213, rest
50, 29, 21, 0, 4.13045256196, rest
41, 29, 12, 0, 3.31052522285, rest
42, 31, 11, 0, 3.38281499957, rest
42, 31, 11, 0, 3.29047142975, rest
46, 31, 15, 0, 3.7454250886, rest
46, 25, 21, 0, 4.21984757602, rest
40, 25, 15, 0, 3.72838019727, rest
40, 26, 14, 0, 3.6036038188, rest
38, 27, 11, 0, 3.36920286629, rest
36, 25, 11, 0, 3.17595666557, rest
38, 25, 13, 0, 3.35594838976, rest
38, 28, 10, 0, 3.01122442018, rest
39, 24, 15, 0, 3.60824842129, rest
39, 24, 15, 0, 3.68185608919, rest
38, 24, 14, 0, 3.63119920055, rest
38, 24, 14, 0, 3.28640405159, rest
40, 23, 17, 0, 3.48919987022, rest
42, 23, 19, 0, 4.07563719149, rest
42, 22, 20, 0, 4.02530861405, rest
33, 22, 11, 0, 3.11016674642, rest
33, 22, 11, 0, 3.22054350151, rest
32, 22, 10, 0, 3.18659693194, rest
32, 22, 10, 0, 3.08509627122, rest
30, 20, 10, 0, 3.18485055604, rest
30, 20, 10, 0, 3.12939792382, rest
34, 23, 11, 0, 3.0069742218, rest
34, 21, 13, 0, 3.30851765629, rest
32, 21, 11, 0, 3.27125681607, rest
32, 24, 8, 0, 2.79975253602, rest
30, 23, 7, 0, 2.5685343199, rest
35, 21, 14, 0, 3.65528972608, rest
55, 21, 34, 0, 4.49176885512, rest
55, 27, 28, 0, 4.14053553272, rest
76, 25, 51, 0, 4.73424495974, rest
76, 19, 57, 0, 4.74373438995, rest
27, 19, 8, 0, 2.86292320112, rest
42, 20, 22, 0, 4.01526274963, rest
47, 28, 19, 0, 3.79632621433, rest
47, 22, 25, 0, 4.38298062997, rest
42, 22, 20, 0, 3.97408749081, rest
45, 26, 19, 0, 4.07697915697, rest
45, 27, 18, 0, 3.74888818521, rest
37, 27, 10, 0, 3.0029316817, rest
37, 26, 11, 0, 3.17077066402, rest
33, 21, 12, 0, 3.1567673691, rest
34, 21, 13, 0, 3.31758277983, rest
35, 25, 10, 0, 3.18244329193, rest
35, 25, 10, 0, 3.26581440494, rest
39, 25, 14, 0, 3.48321334706, rest
39, 25, 14, 0, 3.48882668349, rest
31, 24, 7, 0, 2.4416687266, rest
33, 24, 9, 0, 2.63362102679, rest
34, 25, 9, 0, 2.95519068676, rest
34, 25, 9, 0, 2.75119371374, rest
32, 21, 11, 0, 2.95901184983, rest
33, 21, 12, 0, 3.18972387854, rest
33, 24, 9, 0, 2.90673858754, rest
33, 24, 9, 0, 2.95638292847, rest
32, 23, 9, 0, 2.77456544, rest
28, 22, 6, 0, 2.34219283542, rest
31, 22, 9, 0, 2.94841785253, rest
32, 24, 8, 0, 2.61823180127, rest
37, 24, 13, 0, 3.54625862846, rest
37, 27, 10, 0, 3.16498152803, rest
32, 24, 8, 0, 2.68093069221, rest
32, 24, 8, 0, 2.64451542731, rest
35, 25, 10, 0, 2.8796596229, rest
35, 26, 9, 0, 2.88667889351, rest
32, 25, 7, 0, 2.76347865706, rest
34, 25, 9, 0, 3.07324896214, rest
34, 21, 13, 0, 3.55693295476, rest
37, 21, 16, 0, 3.76602710236, rest
37, 21, 16, 0, 3.41322990509, rest
34, 21, 13, 0, 3.23456710401, rest
32, 21, 11, 0, 3.0776354625, rest
32, 22, 10, 0, 3.0701492543, rest
28, 22, 6, 0, 2.26469256103, rest
32, 22, 10, 0, 3.11482094978, rest
32, 22, 10, 0, 3.07012918396, rest
32, 23, 9, 0, 3.04906598654, rest
32, 24, 8, 0, 2.9762392233, rest
33, 23, 10, 0, 2.93279530194, rest
34, 23, 11, 0, 3.32727174126, rest
34, 24, 10, 0, 3.21881664326, rest
32, 24, 8, 0, 2.63655816076, rest
31, 25, 6, 0, 2.39395854834, rest
32, 23, 9, 0, 2.7196220293, rest
33, 23, 10, 0, 3.17630301102, rest
33, 23, 10, 0, 2.90811130009, rest
32, 23, 9, 0, 2.68507593691, rest
32, 23, 9, 0, 2.97749322345, rest
32, 23, 9, 0, 3.17799909874, rest
30, 23, 7, 0, 2.64250566805, rest
33, 23, 10, 0, 3.16053465873, rest
41, 24, 17, 0, 3.49500660183, rest
42, 25, 17, 0, 3.74142418593, rest
42, 25, 17, 0, 3.5013500745, rest
34, 24, 10, 0, 3.00817753978, rest
34, 24, 10, 0, 2.9962367267, rest
36, 26, 10, 0, 2.89555154469, rest
36, 24, 12, 0, 3.22363345855, rest
34, 24, 10, 0, 3.12495012517, rest
34, 24, 10, 0, 3.24990045574, rest
32, 24, 8, 0, 2.78442262803, rest
34, 25, 9, 0, 2.8386336897, rest
34, 24, 10, 0, 3.03094648716, rest
32, 24, 8, 0, 2.73486698292, rest
32, 24, 8, 0, 2.70051897626, rest
